,i,algorithm,execution Time
0,0,mowsaarm,0.2483358383178711
1,0,mowoaarm,0.05448603630065918
2,1,mowsaarm,0.25033092498779297
3,1,mowoaarm,0.046874284744262695
4,2,mowsaarm,0.2505197525024414
5,2,mowoaarm,0.03219199180603027
6,3,mowsaarm,0.24935102462768555
7,3,mowoaarm,0.05191397666931152
8,4,mowsaarm,0.2483367919921875
9,4,mowoaarm,0.04603719711303711
10,5,mowsaarm,0.2510850429534912
11,5,mowoaarm,0.052076101303100586
12,6,mowsaarm,0.25230860710144043
13,6,mowoaarm,0.05107593536376953
14,7,mowsaarm,0.24997305870056152
15,7,mowoaarm,0.04787182807922363
16,8,mowsaarm,0.25011563301086426
17,8,mowoaarm,0.04933667182922363
18,9,mowsaarm,0.24671316146850586
19,9,mowoaarm,0.04795432090759277
20,10,mowsaarm,0.25232768058776855
21,10,mowoaarm,0.05186104774475098
22,11,mowsaarm,0.24798035621643066
23,11,mowoaarm,0.04886960983276367
24,12,mowsaarm,0.24989819526672363
25,12,mowoaarm,0.0608370304107666
26,13,mowsaarm,0.2479543685913086
27,13,mowoaarm,0.0857696533203125
28,14,mowsaarm,0.2518584728240967
29,14,mowoaarm,0.09175419807434082
30,15,mowsaarm,0.2488698959350586
31,15,mowoaarm,0.07977008819580078
32,16,mowsaarm,0.25084877014160156
33,16,mowoaarm,0.13590145111083984
34,17,mowsaarm,0.24994277954101562
35,17,mowoaarm,0.15710759162902832
36,18,mowsaarm,0.2699902057647705
37,18,mowoaarm,0.17204499244689941
38,19,mowsaarm,0.25047969818115234
39,19,mowoaarm,0.10571646690368652
